iter	DF_CAA	DF_DAA	CF_CAA	CF_DAA
0	0.5202	0.6085	0.5673	0.5211
200	0.8504	0.9411	0.5656	0.7055
400	0.9212	0.7789	0.6735	0.7926
1600	0.5709	0.6494	0.3518	0.3792
6400	0.2454	0.2994	0.2066	0.2077
25600	0.1471	0.1994	0.1289	0.1823
102400	0.1127	0.174	0.1125	0.1344
204800	0.1184	0.1252	0.1274	0.1154
409600	0.1048	0.1167	0.1165	0.0995
819200	0.1153	0.1023	0.101	0.0985
1000000	0.1118	0.0948	0.0998	0.092
1228800	0.1206	0.0973	0.099	0.0921
1638400	0.11	0.0917	0.0997	0.0919
2000000	0.1058	0.0958	0.095	0.09
3000000	0.1033	0.0818	0.0957	0.0947
4000000	0.0968	0.0729	0.0992	0.0858
5000000	0.0994	0.079	0.0923	0.0952
6000000	0.0956	0.0879	0.0949	0.088
