iter	DF_CAA	CF_DAA	DF_DAA	CF_CAA
0	0.5104	0.4961	0.4988	0.5176
200	0.7692	0.6748	0.9097	0.5299
400	0.8536	0.7474	0.739	0.6315
1600	0.6282	0.4202	0.6407	0.37
6400	0.3227	0.2703	0.4401	0.2301
25600	0.234	0.21	0.3238	0.1474
102400	0.2037	0.1458	0.2289	0.1357
204800	0.1438	0.1262	0.2081	0.1137
409600	0.1261	0.1168	0.1524	0.1068
819200	0.1228	0.1146	0.125	0.1151
1000000	0.1073	0.1077	0.1306	0.1005
1228800	0.1055	0.1112	0.1105	0.1067
1638400	0.1059	0.1101	0.102	0.1057
2000000	0.1113	0.103	0.1168	0.1062
3000000	0.0965	0.1023	0.1005	0.1038
