iter	CF_CAA	DF_CAA	DF_DAA	CF_DAA
0	0.5176	0.5104	0.4988	0.4961
200	0.5299	0.7692	0.9097	0.6748
400	0.6315	0.8536	0.739	0.7474
1600	0.37	0.6282	0.6407	0.4202
6400	0.2301	0.3227	0.4401	0.2703
25600	0.1474	0.234	0.3238	0.21
102400	0.1357	0.2037	0.2289	0.1458
204800	0.1137	0.1438	0.2081	0.1262
409600	0.1068	0.1261	0.1524	0.1168
819200	0.1151	0.1228	0.125	0.1146
1000000	0.1005	0.1073	0.1306	0.1077
1228800	0.1067	0.1055	0.1105	0.1112
1638400	0.1057	0.1059	0.102	0.1101
2000000	0.1062	0.1113	0.1168	0.103
3000000	0.1038	0.0965	0.1005	0.1023
